data,vazao_m3s
2025-03-15,27859.3
2025-03-16,27986.7
2025-03-17,28132.7
2025-03-18,28279.2
2025-03-19,28536.9
2025-03-20,28814.6
2025-03-21,29019.5
2025-03-22,29187.8
2025-03-23,29338
2025-03-24,29526.4
2025-03-25,29677.7
2025-03-26,29791.6
2025-03-27,29981.9
2025-03-28,30115.7
2025-03-29,30211.4
2025-03-30,30307.4
2025-03-31,30365.1
2025-04-01,30442.1
2025-04-02,30500
2025-04-03,30577.2
2025-04-04,30635.2
2025-04-05,30907
2025-04-06,30945.9
2025-04-07,31082.5
2025-04-08,31298
2025-04-09,31455.3
2025-04-10,31731.9
2025-04-11,32049.9
2025-04-12,32390.2
2025-04-13,32692.4
2025-04-14,32996.5
2025-04-15,33363.9
2025-04-16,33734
2025-04-17,34086.1
2025-04-18,34461.5
2025-04-19,34839.7
2025-04-20,35412.1
2025-04-21,35797.2
2025-04-22,36163.5
2025-04-23,36488.7
2025-04-24,36837.8
2025-04-25,37189
2025-04-26,37476.1
2025-04-27,37831.4
2025-04-28,38099.4
2025-04-29,38391.1
2025-04-30,38820.1
2025-05-01,39138.3
2025-05-02,39412.3
2025-05-03,39595.8
2025-05-04,39802.8
2025-05-05,39964.4
2025-05-06,40126.3
2025-05-07,40265.5
2025-05-08,40405
2025-05-09,40498.2
2025-05-10,40591.5
2025-05-11,40708.4
2025-05-12,40848.9
2025-05-13,41060.3
2025-05-14,41248.8
2025-05-15,41414.2
2025-05-16,41603.8
2025-05-17,41722.6
2025-05-18,42056.4
2025-05-19,42343.9
2025-05-20,42488.2
2025-05-21,42681.1
2025-05-22,42801.9
2025-05-23,42995.7
2025-05-24,43238.8
2025-05-25,43385
2025-05-26,43580.6
2025-05-27,43776.7
2025-05-28,43973.5
2025-05-29,44170.8
2025-05-30,44319.2
2025-05-31,44467.9
2025-06-01,44666.7
2025-06-02,44891
2025-06-03,45116.1
2025-06-04,45316.9
2025-06-05,45493
2025-06-06,45669.6
2025-06-07,45922.6
2025-06-08,46253
2025-06-09,46533.7
2025-06-10,46738.6
2025-06-11,47021.4
2025-06-12,47305.2
2025-06-13,47538.3
2025-06-14,47798.2
2025-06-15,48032.9
2025-06-16,48347.1
2025-06-17,48583.6
2025-06-18,48820.9
2025-06-19,49085.4
2025-06-20,49297.8
2025-06-21,49564
2025-06-22,49777.7
2025-06-23,49938.4
2025-06-24,50126.3
2025-06-25,50314.7
2025-06-26,50530.5
2025-06-27,50665.8
2025-06-28,50828.3
2025-06-29,50936.9
2025-06-30,51045.7
2025-07-01,51100.1
2025-07-02,51181.8
2025-07-03,51181.8
2025-07-04,51345.5
2025-07-05,51400.1
2025-07-06,51372.8
2025-07-07,51318.2
2025-07-08,51209.1
2025-07-09,51100.1
2025-07-10,51072.9
2025-07-11,51072.9
2025-07-12,51045.7
2025-07-13,50882.6
2025-07-14,50855.5
2025-07-15,50774.1
2025-07-16,50692.8
2025-07-17,50611.6
2025-07-18,50503.5
2025-07-19,50422.5
