data,vazao_m3s
2018-12-07,16996.8
2018-12-08,17430.8
2018-12-09,17737.9
2018-12-10,17782
2018-12-11,17649.9
2018-12-12,17430.8
2018-12-13,17126.4
2018-12-14,16867.8
2018-12-15,16739.2
2018-12-16,16611.2
2018-12-17,16611.2
2018-12-18,16568.6
2018-12-19,16398.9
2018-12-20,16188.1
2018-12-21,16020.5
2018-12-22,16020.5
2018-12-23,15853.8
2018-12-24,15605.4
2018-12-25,15400
2018-12-26,15277.4
2018-12-27,15114.8
2018-12-28,14951
2018-12-29,14697.3
2018-12-30,14444.5
2018-12-31,14234.5
2019-01-01,14150.7
2019-01-02,14108.8
2019-01-03,14108.8
2019-01-04,14025.1
2019-01-05,13941.6
2019-01-06,13816.4
2019-01-07,13318.1
2019-01-08,12905.7
2019-01-09,12741.4
2019-01-10,12700.5
2019-01-11,12823.5
2019-01-12,12987.9
2019-01-13,13111.5
2019-01-14,13318.1
2019-01-15,13359.5
2019-01-16,13318.1
2019-01-17,13194.1
2019-01-18,13111.5
2019-01-19,13029.1
2019-01-20,13029.1
2019-01-21,13608.3
2019-01-22,13983.3
2019-01-23,14192.6
2019-01-24,14655.1
2019-01-25,15033.9
2019-01-26,15359.1
2019-01-27,15605.4
2019-01-28,15812.2
2019-01-29,15978.7
2019-01-30,16020.5
2019-01-31,15895.3
2019-02-01,15688
2019-02-02,15523.1
2019-02-03,15359.1
2019-02-04,15359.1
2019-02-05,15236.7
2019-02-06,15236.7
2019-02-07,15318.2
2019-02-08,15400
2019-02-09,15646.6
2019-02-10,15937
2019-02-11,16272.3
2019-02-12,16483.6
2019-02-13,16568.6
2019-02-14,16696.5
2019-02-15,16782
2019-02-16,16867.8
2019-02-17,16953.7
2019-02-18,16824.8
2019-02-19,16611.2
2019-02-20,16356.6
2019-02-21,15937
2019-02-22,15482
2019-02-23,14866.3
2019-02-24,14150.7
2019-02-25,13442.3
2019-02-26,12864.6
2019-02-27,12455.1
2019-02-28,12088.9
2019-03-01,11523.7
2019-03-02,11003.9
2019-03-03,10528.4
2019-03-04,10096.4
2019-03-05,9629.34
2019-03-06,9205.21
2019-03-07,9051.95
2019-03-08,8785.01
2019-03-09,8481.94
2019-03-10,8218.55
2019-03-11,8218.55
2019-03-12,8406.51
2019-03-13,8331.22
2019-03-14,8331.22
2019-03-15,8368.85
2019-03-16,8481.94
2019-03-17,8671.1
2019-03-18,8785.01
2019-03-19,8937.34
2019-03-20,9051.95
2019-03-21,9205.21
2019-03-22,9282.03
2019-03-23,9282.03
